"houseTitle","houseLocation","housePrice","houseRatingStars","houseReviewNumber","url","baños","habitaciones","camas","houseServices"
"Villa Nikara a 5 minutes walk from Berawa Beach","Kuta Utara, Bali, Indonesia",205,4,104,"https://nextviaje.vercel.app/detalles/villa-nikara-a-5-minutes-walk-from-berawa-beach",1,3,2,"[""servicios\ncocina\nwifi\nplancha\nestacionamiento gratuito en las instalaciones\njacuzzi""]"
"Stunning Designer Home-Anjali Suite","Ubud, Bali, Indonesia",534,3,59,"https://nextviaje.vercel.app/detalles/stunning-designer-homeanjali-suite",1,3,1,"[""servicios\ncocina\nwifi\nplancha\ndesayuno\nsecador de pelo""]"
"Hidden Escape Pool & Wifi","Denpasar, Bali, Indonesia",977,5,34,"https://nextviaje.vercel.app/detalles/hidden-escape-pool-and-wifi",1,1,3,"[""servicios\ncalefacción\nwifi\naire acondicionado\nzona para trabajar con computadora portátil\nelementos básicos""]"
"BEAUTIFUL ROOM WITH PRIVATE POOL","Ubud, Bali, Indonesia",793,2,64,"https://nextviaje.vercel.app/detalles/beautiful-room-with-private-pool",1,1,3,"[""servicios\ncocina\nchimenea interior\nwifi\nestacionamiento gratuito en las instalaciones\ndesayuno""]"
"Modern & Spacious - Short Walk to Beach/Shops/Food","Kuta Utara, Bali, Indonesia",914,3,254,"https://nextviaje.vercel.app/detalles/modern-and-spacious-short-walk-to-beach-shops-food",1,2,2,"[""servicios\ncocina\nwifi\nplancha\nestacionamiento gratuito en las instalaciones\nsecador de pelo""]"
"ROMANTIC GETAWAY - ARCHITECTURAL MASTERPIECE","Kuta Utara, Bali, Indonesia",998,5,84,"https://nextviaje.vercel.app/detalles/romantic-getaway-architectural-masterpiece",1,3,2,"[""servicios\ncocina\nwifi\nplancha\nestacionamiento gratuito en las instalaciones\nsecador de pelo""]"
"Bamboo eco cottage in rice fields","Ubud, Bali, Indonesia",248,1,97,"https://nextviaje.vercel.app/detalles/bamboo-eco-cottage-in-rice-fields",2,3,1,"[""servicios\nwifi\nsecadora\nlavadora\nsecador de pelo\nelementos básicos""]"
"Tropical Suite Villa private pool 5","Canggu, Bali, Indonesia",76,3,87,"https://nextviaje.vercel.app/detalles/tropical-suite-villa-private-pool-5",1,1,3,"[""servicios\ncocina\nwifi\nplancha\nestacionamiento gratuito en las instalaciones\nsecador de pelo""]"
"180° VIEW, PRIVATE POOL VILLA..","Singaraja, Bali, Indonesia",757,5,74,"https://nextviaje.vercel.app/detalles/180-view-private-pool-villa",1,3,1,"[""servicios\ncocina\ngimnasio\nwifi\nplancha\nsecadora""]"
"Antique garden cabins with HEART! 3","Denpasar, Bali, Indonesia",172,4,63,"https://nextviaje.vercel.app/detalles/antique-garden-cabins-with-heart-3",1,3,1,"[""servicios\ncocina\nwifi\nestacionamiento gratuito en las instalaciones\naire acondicionado\nzona para trabajar con computadora portátil""]"
